Sentence,Label,LabelProbability
"@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right.","Negative",0.535634
"Reading my kindle2...  Love it... Lee childs is good read.","Positive",0.968031
"Ok, first assesment of the #kindle2 ...it fucking rocks!!!","Positive",0.822685
"@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :)","Positive",0.817371
"@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :)","Positive",0.882528
"@richardebaker no. it is too big. I'm quite happy with the Kindle2.","Positive",0.946177
"Fuck this economy. I hate aig and their non loan given asses.","Negative",0.952173
"Jquery is my new best friend.","Positive",0.885867
"Loves twitter","Positive",0.88965
"how can you not love Obama? he makes jokes about himself.","Negative",0.59253
"Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM","Positive",0.850532
"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism","Negative",0.636334
"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation","Positive",0.514661
"Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!","Positive",0.803128
"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x","Negative",0.693352
"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2","Negative",0.773715
"I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.","Negative",0.923247
"i love lebron. http://bit.ly/PdHur","Positive",0.771129
"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.","Negative",0.739495
"@Pmillzz lebron IS THE BOSS","Negative",0.629918
"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol","Positive",0.694753
"lebron and zydrunas are such an awesome duo","Positive",0.78654
"@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.","Negative",0.912176
"downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.","Positive",0.794177
"good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!","Positive",0.610666
"http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson)","Positive",0.854476
"In montreal for a long weekend of R&amp;R. Much needed.","Positive",0.717341
"Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv","Positive",0.786781
"[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP","Positive",0.946775
"@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake.","Negative",0.659167
"need suggestions for a good IR filter for my canon 40D ... got some? pls DM","Positive",0.854391
"@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv","Positive",0.787949
"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT.","Positive",0.850321
"Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.","Positive",0.533671
"US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders","Positive",0.638875
"omg so bored &amp; my tattoooos are so itchy!!  help! aha =)","Negative",0.778781
"I'm itchy and miserable!","Negative",0.985293
"@sekseemess no. I'm not itchy for now. Maybe later, lol.","Positive",0.67964
"RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR","Negative",0.747674
"@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane.","Positive",0.704734
"I'm listening to P.Y.T by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)","Positive",0.792333
"is going to sleep then on a bike ride:]","Positive",0.804744
"cant sleep... my tooth is aching.","Negative",0.993553
"Blah, blah, blah same old same old. No plans today, going back to sleep I guess.","Negative",0.857557
"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf","Negative",0.863474
"is in San Francisco at Bay to Breakers.","Positive",0.672541
"just landed at San Francisco","Positive",0.683826
"San Francisco today.  Any suggestions?","Positive",0.826534
"?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg","Negative",0.705723
"started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?","Positive",0.506229
"ShaunWoo hate'n on AiG","Positive",0.592939
"@YarnThing you will not regret going to see Star Trek. It was AWESOME!","Positive",0.946327
"On my way to see Star Trek @ The Esquire.","Positive",0.842283
"Going to see star trek soon with my dad.","Positive",0.844009
"annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.","Negative",0.92052
"Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50","Positive",0.876054
